B,P,C,X,N,Time
5,1,1,0,1,11.031589
5,1,5,0,1,16.740917
5,5,1,0,1,2.379882
5,5,5,0,1,3.559238
10,1,1,0,1,10.849649
10,1,5,0,1,14.668302
10,1,10,0,1,18.287099
10,5,1,0,1,2.185177
10,5,5,0,1,3.189513
10,5,10,0,1,4.437578
10,10,1,0,1,1.179276
10,10,5,0,1,1.513533
10,10,10,0,1,1.901437
5,1,1,200,1,10.478608
5,1,5,200,1,10.845563
5,5,1,200,1,
5,5,5,200,1,2.95628
10,1,1,200,1,10.488353
10,1,5,200,1,10.824044
10,1,10,200,1,10.901582
10,5,1,200,1,
10,5,5,200,1,2.508308
10,5,10,200,1,2.5136
10,10,1,200,1,
10,10,5,200,1,
10,10,10,200,1,1.720996
5,1,1,400,1,20.07438
5,1,5,400,1,10.747398
5,5,1,400,1,
5,5,5,400,1,4.502687
10,1,1,400,1,20.104304
10,1,5,400,1,10.760721
10,1,10,400,1,10.815564
10,5,1,400,1,
10,5,5,400,1,4.515022
10,5,10,400,1,2.949063
10,10,1,400,1,
10,10,5,400,1,
10,10,10,400,1,2.562455